problem_name,seed,feature_names,n_features,n_shot,accuracy_llm_vs_metric,accuracy_llm_vs_true,kappa_llm_vs_metric,f1_llm_vs_metric,accuracy_perceptron_baseline_vs_true,n_malformed
homem_mulher,42,x1/x2,4,0,0.6333333333333333,0.6,0.1269841269841271,0.7555555555555555,,0
homem_mulher,42,x1/x2,4,5,0.8666666666666667,0.36666666666666664,0.7058823529411765,0.9,0.26666666666666666,0
homem_mulher,42,x1/x2,4,10,0.8666666666666667,0.23333333333333334,0.7222222222222222,0.8888888888888888,0.23333333333333334,0
homem_mulher,42,x1/x2,4,20,0.8666666666666667,0.36666666666666664,0.7058823529411765,0.9,0.3,0
homem_mulher,42,x1/x2,4,40,0.8666666666666667,0.36666666666666664,0.7058823529411765,0.9,0.3,0
homem_mulher,42,peso/altura,4,0,0.6,0.6333333333333333,0.0,0.75,,0
homem_mulher,42,peso/altura,4,5,0.8333333333333334,0.8666666666666667,0.647887323943662,0.8648648648648649,0.9,0
homem_mulher,42,peso/altura,4,10,0.9,0.8666666666666667,0.8,0.9090909090909091,0.8,0
homem_mulher,42,peso/altura,4,20,1.0,0.9,1.0,1.0,0.7,0
homem_mulher,42,peso/altura,4,40,1.0,0.9,1.0,1.0,0.8666666666666667,0
homem_mulher,123,x1/x2,3,0,0.5666666666666667,0.4,0.1333333333333333,0.6829268292682927,,0
homem_mulher,123,x1/x2,3,5,0.7333333333333333,0.23333333333333334,0.4666666666666667,0.7647058823529411,0.3,0
homem_mulher,123,x1/x2,3,10,0.7666666666666667,0.6,0.5333333333333333,0.7878787878787878,0.7333333333333333,0
homem_mulher,123,x1/x2,3,20,0.8,0.5666666666666667,0.6,0.8,0.7666666666666667,0
homem_mulher,123,x1/x2,3,40,0.8333333333333334,0.5333333333333333,0.6666666666666667,0.8571428571428571,0.8,0
homem_mulher,123,peso/altura,2,0,0.6,0.6333333333333333,0.2139737991266375,0.6,,0
homem_mulher,123,peso/altura,2,5,0.9,0.7333333333333333,0.7906976744186046,0.8695652173913043,,0
homem_mulher,123,peso/altura,2,10,1.0,0.8333333333333334,1.0,1.0,0.7333333333333333,0
homem_mulher,123,peso/altura,2,20,0.9666666666666667,0.8,0.9315068493150684,0.96,0.8,0
homem_mulher,123,peso/altura,2,40,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0
homem_mulher,7,x1/x2,4,0,0.5666666666666667,0.5666666666666667,-0.25806451612903225,0.723404255319149,,0
homem_mulher,7,x1/x2,4,5,0.9666666666666667,0.3,0.9112426035502958,0.9777777777777777,0.3333333333333333,0
homem_mulher,7,x1/x2,4,10,0.9666666666666667,0.23333333333333334,0.9180327868852459,0.9767441860465116,0.1,0
homem_mulher,7,x1/x2,4,20,0.8666666666666667,0.4,0.5945945945945946,0.9166666666666666,0.36666666666666664,0
homem_mulher,7,x1/x2,4,40,0.9333333333333333,0.3333333333333333,0.8148148148148149,0.9565217391304348,0.3,0
homem_mulher,7,peso/altura,4,0,0.5,0.5333333333333333,0.0,0.6666666666666666,,0
homem_mulher,7,peso/altura,4,5,0.7666666666666667,0.7333333333333333,0.5333333333333333,0.8108108108108109,0.9333333333333333,0
homem_mulher,7,peso/altura,4,10,0.9333333333333333,0.9,0.8666666666666667,0.9285714285714286,0.8,0
homem_mulher,7,peso/altura,4,20,0.8666666666666667,0.8333333333333334,0.7333333333333334,0.8666666666666667,0.9666666666666667,0
homem_mulher,7,peso/altura,4,40,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.967741935483871,0.9333333333333333,0
meia_lua_seed42,42,x1/x2,4,0,0.7555555555555555,0.5555555555555556,0.0,0.0,,0
meia_lua_seed42,42,x1/x2,4,5,0.8222222222222222,0.5777777777777777,0.6137339055793991,0.7333333333333333,0.28888888888888886,0
meia_lua_seed42,42,x1/x2,4,10,0.8666666666666667,0.6222222222222222,0.6785714285714286,0.7692307692307693,0.8888888888888888,0
meia_lua_seed42,42,x1/x2,4,20,0.7777777777777778,0.5777777777777777,0.5398773006134969,0.6875,0.4444444444444444,0
meia_lua_seed42,42,x1/x2,4,40,0.8444444444444444,0.6444444444444445,0.6349942062572422,0.7407407407407407,0.5111111111111111,0
